dataset,removed_system,removed_class,n_systems,observed_mean_dev_percent,observed_median_dev_percent,observed_count_below,uniform_log_frequency_p_mean,uniform_log_frequency_success_mean,uniform_log_frequency_p_median,uniform_log_frequency_success_median,uniform_log_frequency_p_count,uniform_log_frequency_success_count,permutation_frequency_mass_p_mean,permutation_frequency_mass_success_mean,permutation_frequency_mass_p_median,permutation_frequency_mass_success_median,permutation_frequency_mass_p_count,permutation_frequency_mass_success_count
ARGENTO,XTE J1650-500,stellar,25,2.914925412537841,0.7973039208515365,7,< 3.33e-05,0,< 3.33e-05,0,0.0109,327,< 3.33e-05,0,0.0008,24,0.0926667,2780
ARGENTO,H 1743-322 (160),stellar,25,2.9254327317376436,0.7973039208515365,6,< 3.33e-05,0,3.33333e-05,1,0.0395,1185,< 3.33e-05,0,0.00143333,43,0.2549,7647
ARGENTO,H 1743-322 (240),stellar,25,2.890937025664578,0.4543904117277974,7,< 3.33e-05,0,< 3.33e-05,0,0.0114667,344,< 3.33e-05,0,6.66667e-05,2,0.0933333,2800
ARGENTO,XTE J1752-223,stellar,25,2.924713878060964,0.7973039208515365,6,< 3.33e-05,0,6.66667e-05,2,0.0403333,1210,< 3.33e-05,0,0.00123333,37,0.2441,7323
ARGENTO,4U 1630-47,stellar,25,2.9095389066903916,0.7973039208515365,7,< 3.33e-05,0,3.33333e-05,1,0.0117667,353,< 3.33e-05,0,0.000866667,26,0.0907,2721
ARGENTO,MAXI J1659-152,stellar,25,2.882792931778223,0.4543904117277974,7,< 3.33e-05,0,6.66667e-05,2,0.0119333,358,< 3.33e-05,0,3.33333e-05,1,0.106067,3182
ARGENTO,GRO J0422+32,stellar,25,2.9084644827652837,0.7973039208515365,7,< 3.33e-05,0,0.000133333,4,0.0122667,368,< 3.33e-05,0,0.00176667,53,0.137267,4118
ARGENTO,XTE J1859+226 (150),stellar,25,2.8947479424003344,0.4543904117277974,7,< 3.33e-05,0,< 3.33e-05,0,0.0106333,319,< 3.33e-05,0,0.0001,3,0.102467,3074
ARGENTO,XTE J1118+480,stellar,25,2.8056381058998796,0.4543904117277974,7,< 3.33e-05,0,3.33333e-05,1,0.0117,351,< 3.33e-05,0,0.000133333,4,0.109,3270
ARGENTO,XTE J1908+094,stellar,25,2.824153379137446,0.4543904117277974,7,< 3.33e-05,0,< 3.33e-05,0,0.0106,318,< 3.33e-05,0,0.000266667,8,0.137267,4118
ARGENTO,NGC 5408 X-1 (0.13),imbh,25,2.639313387608733,0.4543904117277974,7,< 3.33e-05,0,< 3.33e-05,0,0.00853333,256,< 3.33e-05,0,0.000733333,22,0.1583,4749
ARGENTO,NGC 5408 X-1 (0.20),imbh,25,2.727429374842006,0.4543904117277974,7,< 3.33e-05,0,< 3.33e-05,0,0.0088,264,< 3.33e-05,0,0.000466667,14,0.161867,4856
ARGENTO,Holmberg II X-1 (0.20),imbh,25,2.8911961457600555,0.4543904117277974,7,< 3.33e-05,0,< 3.33e-05,0,0.00906667,272,< 3.33e-05,0,0.000533333,16,0.151333,4540
ARGENTO,Holmberg II X-1 (0.30),imbh,25,2.9256788460788585,0.7973039208515365,6,< 3.33e-05,0,3.33333e-05,1,0.0323333,970,< 3.33e-05,0,0.00343333,103,0.315333,9460
ARGENTO,NGC 1313 X-1 (0.10),imbh,25,2.727429374842006,0.4543904117277974,7,< 3.33e-05,0,< 3.33e-05,0,0.00986667,296,< 3.33e-05,0,0.000466667,14,0.154933,4648
ARGENTO,M82 X-1 (6.5),imbh,25,2.9125204629461408,0.7973039208515365,7,< 3.33e-05,0,6.66667e-05,2,0.0081,243,< 3.33e-05,0,0.0023,69,0.130033,3901
ARGENTO,1H 0707-495,agn,25,2.852921586362186,0.4543904117277974,7,< 3.33e-05,0,< 3.33e-05,0,0.00893333,268,< 3.33e-05,0,0.000766667,23,0.166533,4996
ARGENTO,MS 2254.9-3712,agn,25,2.870781054930992,0.4543904117277974,7,< 3.33e-05,0,< 3.33e-05,0,0.0084,252,< 3.33e-05,0,0.000566667,17,0.167133,5014
ARGENTO,2XMM J123103.2+110648,agn,25,2.60851547460209,0.4543904117277974,7,< 3.33e-05,0,< 3.33e-05,0,0.00856667,257,< 3.33e-05,0,0.000733333,22,0.161633,4849
ARGENTO,Mrk 766,agn,25,1.594840954653109,0.4543904117277974,7,< 3.33e-05,0,< 3.33e-05,0,0.0102667,308,< 3.33e-05,0,0.000466667,14,0.157267,4718
ARGENTO,GW170104,gw,25,2.925749320330935,0.7973039208515365,6,< 3.33e-05,0,3.33333e-05,1,0.0316333,949,< 3.33e-05,0,0.0007,21,0.169667,5090
ARGENTO,GW170608,gw,25,2.9261686628607904,0.7973039208515365,6,< 3.33e-05,0,6.66667e-05,2,0.0358,1074,< 3.33e-05,0,0.0005,15,0.1641,4923
ARGENTO,GW170814,gw,25,2.9247695695280327,0.7973039208515365,6,< 3.33e-05,0,3.33333e-05,1,0.0319,957,< 3.33e-05,0,0.000466667,14,0.160133,4804
ARGENTO,GW190412,gw,25,2.9178054757149097,0.7973039208515365,7,< 3.33e-05,0,3.33333e-05,1,0.00953333,286,< 3.33e-05,0,0.000966667,29,0.0794667,2384
ARGENTO,GW190814,gw,25,2.9258755113051347,0.7973039208515365,6,< 3.33e-05,0,3.33333e-05,1,0.0353,1059,< 3.33e-05,0,0.000766667,23,0.205533,6166
ARGENTO,GW200115,gw,25,2.9136624818213357,0.7973039208515365,7,< 3.33e-05,0,3.33333e-05,1,0.0102667,308,< 3.33e-05,0,0.000866667,26,0.108967,3269
