dataset,system,class,M,frequency,Phi,nearest_zero,delta_percent
ORO,GRS 1915+105,stellar,14.0,67.0,67.0,67.079810529494,0.11897846589609215
ORO,GRO J1655-40 (300),stellar,6.3,300.0,135.0,134.756509753374,0.18068904208905084
ORO,GRO J1655-40 (451),stellar,6.3,451.0,202.95,202.493594514141,0.2253925547393655
ORO,XTE J1550-564 (184),stellar,9.1,184.0,119.6,118.790782865976,0.6812120557678145
ORO,XTE J1550-564 (276),stellar,9.1,276.0,179.4,179.916484020257,0.2870687603026106
ORO,XTE J1859+226,stellar,7.8,227.5,126.75,127.516683879596,0.6012420149820719
ORO,M82 X-1 (3.3),imbh,428.0,3.3,100.88571428571427,101.317851005731,0.42651587625194015
ORO,M82 X-1 (5.0),imbh,428.0,5.0,152.85714285714286,153.024693811199,0.10949275563515434
ORO,NGC 1313 X-1 (0.30),imbh,5000.0,0.3,107.14285714285714,107.168611184276,0.024031328888437283
ORO,NGC 1313 X-1 (0.45),imbh,5000.0,0.45,160.71428571428572,161.188964137596,0.29448568383694035
ORO,RE J1034+396,agn,1700000.0,0.000268,32.542857142857144,32.935061587739,1.1908416926351353
ORO,GW150914,gw,62.0,264.0,1169.142857142857,1169.698356884885,0.04749085426667605
ORO,GW151226,gw,20.8,265.0,393.7142857142857,393.427743844434,0.07283214626699161
ORO,GW190521,gw,332.0,62.0,1470.2857142857142,1470.966589127165,0.04628758032191426
