dataset,removed_system,removed_class,n_systems,observed_mean_dev_percent,observed_median_dev_percent,observed_count_below,uniform_log_frequency_p_mean,uniform_log_frequency_success_mean,uniform_log_frequency_p_median,uniform_log_frequency_success_median,uniform_log_frequency_p_count,uniform_log_frequency_success_count,permutation_frequency_mass_p_mean,permutation_frequency_mass_success_mean,permutation_frequency_mass_p_median,permutation_frequency_mass_success_median,permutation_frequency_mass_p_count,permutation_frequency_mass_success_count
ORO,GRS 1915+105,stellar,13,0.32212171892185404,0.2253925547393655,6,< 3.33e-05,0,0.000733333,22,0.00226667,68,< 3.33e-05,0,0.0132,396,0.0481,1443
ORO,GRO J1655-40 (300),stellar,13,0.31737475152239564,0.2253925547393655,6,< 3.33e-05,0,0.0003,9,0.0026,78,< 3.33e-05,0,0.0112667,338,0.0428333,1285
ORO,GRO J1655-40 (451),stellar,13,0.3139360197800638,0.18068904208905084,7,< 3.33e-05,0,0.000166667,5,0.000233333,7,< 3.33e-05,0,0.00803333,241,0.00953333,286
ORO,XTE J1550-564 (184),stellar,13,0.2788729812394139,0.18068904208905084,7,< 3.33e-05,0,0.0002,6,0.0003,9,< 3.33e-05,0,0.0160667,482,0.0183,549
ORO,XTE J1550-564 (276),stellar,13,0.30919169627519877,0.18068904208905084,7,< 3.33e-05,0,6.66667e-05,2,0.0002,6,< 3.33e-05,0,0.0144333,433,0.0170667,512
ORO,XTE J1859+226,stellar,13,0.2850245228383172,0.18068904208905084,7,< 3.33e-05,0,0.0003,9,0.0004,12,< 3.33e-05,0,0.0158333,475,0.0179667,539
ORO,M82 X-1 (3.3),imbh,13,0.29846499504832724,0.18068904208905084,7,< 3.33e-05,0,0.0001,3,0.000166667,5,< 3.33e-05,0,0.0158333,475,0.0185333,556
ORO,M82 X-1 (5.0),imbh,13,0.3228513889419262,0.2253925547393655,6,< 3.33e-05,0,0.0003,9,0.00166667,50,< 3.33e-05,0,0.0187667,563,0.0567333,1702
ORO,NGC 1313 X-1 (0.30),imbh,13,0.32942534484551983,0.2253925547393655,6,< 3.33e-05,0,0.000333333,10,0.00153333,46,< 3.33e-05,0,0.0275,825,0.0808333,2425
ORO,NGC 1313 X-1 (0.45),imbh,13,0.30862116369563497,0.18068904208905084,7,< 3.33e-05,0,0.000166667,5,0.000166667,5,3.33333e-05,1,0.0222,666,0.0257667,773
ORO,RE J1034+396,agn,13,0.23967070148038921,0.18068904208905084,7,< 3.33e-05,0,0.0067,201,0.00866667,260,3.33333e-05,1,0.0400333,1201,0.0443,1329
ORO,GW150914,gw,13,0.32762076597027073,0.2253925547393655,6,< 3.33e-05,0,0.000133333,4,0.00153333,46,< 3.33e-05,0,0.0150667,452,0.045,1350
ORO,GW151226,gw,13,0.32567143581640035,0.2253925547393655,6,< 3.33e-05,0,0.000166667,5,0.0017,51,< 3.33e-05,0,0.0146,438,0.0529667,1589
ORO,GW190521,gw,13,0.3277133255044831,0.2253925547393655,6,< 3.33e-05,0,0.000333333,10,0.00173333,52,< 3.33e-05,0,0.024,720,0.0743,2229
