dataset,M0,mean_dev_percent,median_dev_percent,count_below
ORO,10.0,0.5495392809455867,0.11763292432335112,8
ORO,10.25,0.4393469016208057,0.2327799805533064,5
ORO,10.5,0.1666721763717309,0.14736302385411132,11
ORO,10.75,0.333030501346679,0.21054344680995615,7
ORO,11.0,0.4603670209043444,0.38350158817799057,6
ORO,11.25,0.416078587638589,0.3809997854154323,5
ORO,11.5,0.5852380094613274,0.26883478804459804,6
ORO,11.75,0.4653519360206489,0.19979412495737883,7
ORO,12.0,0.34651763856253404,0.13836065214275126,9
ORO,12.25,0.4717157690245996,0.5272800319194468,6
ORO,12.5,0.5880098704343131,0.26115811643118464,7
ORO,12.75,0.7438050212505438,0.31096008272789916,6
ORO,13.0,0.8543397060906738,0.32658588308814485,6
ORO,13.25,0.7013270842910232,0.25925767886161205,7
ORO,13.5,0.38799579303943205,0.19872311435648857,7
ORO,13.75,0.5769210682803209,0.38800339705934683,2
ORO,14.0,0.30761148656287113,0.2030407984142082,7
ORO,14.25,0.5466621446861055,0.20271697963152893,7
ORO,14.5,0.6143249560088816,0.4065407426576798,5
ORO,14.75,0.5673154275717527,0.3436756521743122,4
ORO,15.0,0.515035293898821,0.195539995381007,7
ORO,15.25,0.4663600034043607,0.3226094493005276,6
ORO,15.5,0.6922487884506955,0.5230313310896236,5
ORO,15.75,0.8019945599971628,0.5040611598307256,4
ORO,16.0,0.8650440962156949,0.4206924545789926,5
ORO,16.25,1.0960928751749577,0.35569098703131785,6
ORO,16.5,1.2272433295501566,0.4393414524352615,6
ORO,16.75,1.009829856459066,0.3929490181278429,6
ORO,17.0,1.0038296472514845,0.2785239903819385,5
ORO,17.25,1.0808870377343573,0.5171217689982857,3
ORO,17.5,0.8185539691211186,0.47456257573839766,5
ORO,17.75,0.5692528630184343,0.31624544330551524,3
ORO,18.0,0.4985687366189777,0.33717291902976887,6
