iteration;mean_deviation;median_deviation;count_below_threshold
1;957.913399572;0.0205643120004;4
2;8.43657460893;0.0303204642661;3
3;640.891338583;0.033465992214;4
4;14.1935872292;0.668748927893;4
5;216.136784316;0.728025435533;2
6;9.0053385387;0.0245242576431;4
7;3.32961482209;0.00797355715534;5
8;922.133632849;0.00360500780045;6
9;792.285262243;0.128414582725;4
10;926.414904651;0.434472267662;5
11;18.1049555499;0.00862305305837;6
12;24.7264771369;0.488963409559;3
13;14.9403978911;0.595979813654;5
14;239.370896013;0.94413454459;3
15;238.140619328;0.809157944498;3
16;20.3502209976;0.00948463952103;5
17;794.443131638;0.977070148899;1
18;1567.52677506;0.900473076046;3
19;1043.94250145;0.848928286794;2
20;643.031649565;0.00752350251552;4
21;1043.89175262;0.298081252239;5
22;12.5356228338;0.42381484158;3
23;963.099407861;0.985938884697;1
24;6.41235235055;0.0101569141768;3
25;1570.3967091;0.623040828011;3
26;8.73070131466;0.819403734715;2
27;960.901019027;0.450818870763;5
28;924.940343735;0.86446752473;2
29;1569.98302012;0.476456218049;6
30;12.3582677184;0.179171428615;3
31;958.068868164;0.00555946052312;4
32;7.136325597;0.821791471276;2
33;11.559987993;0.00300623039471;6
34;3.9294004086;0.423835662443;4
35;927.045851929;0.924615745718;4
36;926.076017975;0.483910379778;3
37;14.6239546344;0.421942583277;5
38;1570.35387908;0.465616652074;5
39;21.6599323683;0.164003833787;5
40;217.459555217;0.844531819475;3
41;17.4568443259;0.00259186549948;7
42;3.22259694658;0.032612361605;1
43;792.507339722;0.609956517274;4
44;220.653338828;0.995182543142;2
45;20.1109041701;0.0434264959091;1
46;916.715260354;0.0022802667423;7
47;5.21282235756;0.819403734715;3
48;1042.04353331;0.986924299785;2
49;921.313447305;0.98635579108;2
50;1568.62677403;0.98635579108;3
51;22.32347694;0.0377651191767;2
52;7.39909359881;0.444817351949;3
53;964.190894148;0.340094540852;2
54;919.613367233;0.874688047893;2
55;792.973437879;0.620488855602;4
56;794.643144005;0.867499571157;4
57;643.95701543;0.874688047893;3
58;2.11295420529;0.904490537562;2
59;3.52100227513;0.0155562742232;2
60;238.441595494;0.450781191316;5
61;17.4289029792;0.874422743831;3
62;960.662860345;0.391842745397;4
